,0,1
2400,bottle,paper
2401,5,two
2402,air,beds
2403, important dates ., bricks
2404,blood,ink
2405, document, lunch
2406,hot,cold
2407,canada,mars
2408,feather,keys
2409,shelf,phone
2410,mum,tv
2411,fridge,apartment
2412,oven,chair
2413,football,car
2414,donkey,eggs
2415,elbow,nose
2416,the,in
2417,##s,tree
2418,patient,dog
2419,brain,arm
2420,deer,turkey
2421,banana,phone
2422, catch, inc ##iner ##ate
2423, jogging good health, smoking beneficial heart and lungs
2424, an rotten, a
2425,cat,car
2426,dollars,miles
2427, television, diamond ring
2428,dog,girl
2429, worst, best in the proof
2430,house,car
2431,fish,rabbits
2432,nap,sky
2433,find,choose
2434, farms and in gardens, mars
2435, chicken, gi ##raf ##fe
2436, street sight, light
2437, gi ##raf ##fe, girl
2438,fridge,microwave
2439, fork, don ##ut
2440,socks,hands
2441, rice with beans, banana
2442, va ##gina, penis
2443," eat , taste , and talk", walk
2444,circus,supermarket
2445,round,square
2446,match,stone
2447,foam,nails
2448,car,toy
2449,wood,mirror
2450,street,chair
2451,log,man
2452,knife,pen
2453, snakes, toast ##ers
2454,lava,blood
2455,pen,bird
2456,opener,thread
2457, banana, head ##phones
2458,, marriage
2459,cup,oven
2460, cell phone, cigarettes
2461,bridge,chicken
2462,eating,sitting
2463,house,mug
2464, television, dish wash ##er .
2465, sell her rotten, buy
2466,##ious,loss
2467, plane, toy car
2468,recycling,waste
2469,ocean,sky
2470,water,sidewalk
2471,tuna,basketball
2472, clock, blend ##er
2473,car,horse
2474, i am, is of me
2475, washing machine, fireplace
2476, house, del ##i .
2477,bathroom,kitchen
2478,ball,footballer
2479,ocean,whale
2480, busy market, quiet and peaceful place
2481,shoes,bread
2482, the dry ##er, a bed
2483,food,chips
2484,friends,cinema
2485,sufficient,necessary
2486, dip ##lo ##do ##cus, momma
2487,bar,library
2488,countries,.
2489,beach,ocean
2490,bike,letter
2491, bus, pine tree
2492,deer,lions
2493,it,air
2494, has caused a lot of wars, is not controversial
2495,chicken,dinosaur
2496,uncle,dolphin
2497, part of,
2498, electricity, a heart
2499,square,round
2500,tablets,chocolate
2501,swimming,exercise
2502, ta ##cos, door ##k ##nob ##s
2503,tree,bird
2504, chicken, mar ##mal ##ade
2505, does, doesn ' t
2506,complexes,files
2507,girl,pen
2508, underground, over the city
2509,chair,cup
2510,dragon,belly
2511,crab,wheat
2512, scissors, a knife
2513, connected it to an outlet ., put some into the
2514,water,petrol
2515, guinea pig, horse
2516,on,off
2517,doctor,movie
2518, pork, meat
2519,voice,table
2520,feel,learn
2521,chicken,car
2522, grabbed, flew over and caught it
2523, va ##cc ##um cleaner, washing machine
2524,paint,play
2525,library,kitchen
2526,spoon,key
2527,cow,dog
2528, new soap, tooth ##pas ##te
2529,sandwich,car
2530,planet,house
2531, comb, tooth ##brush
2532,petrol,water
2533, dogs can companion animals, tigers pets for small children
2534,no,any
2535, ice cream, flames
2536,lawyer,doctor
2537,##ged,##ed
2538,gun,shooter
2539,worms,cereal
2540,fruit,plastic
2541,pole,cap
2542,walking,running
2543, hip ##po, man
2544, bread, bricks ##tones
2545,shoe,hat
2546, loves to eat diamonds, stole a diamond
2547, arrive on time, you be the smart ##est person in the room
2548,kite,bike
2549,shoes,##s
2550,jacket,car
2551,yoga,marathon
2552, an olympic swimming pool, staple ##r
2553, razor ., knife
2554,cat,parcel
2555, was tv which sat, her
2556,see,touch
2557,cool,hot
2558,bottle,pen
2559,people,bread
2560, kidney ##cino, coffee ##cci ##no
2561, the went me, i ' m going
2562,dog,chair
2563,net,card
2564,airplane,bus
2565,book,mountain
2566,pen,desk
2567,car,steak
2568, the ##n 1 ##k ##g salad, ##nb ##o a plate pork
2569, straw ##berries everyday, rub ##ies every day
2570, bananas, pick ##les
2571,birds,humans
2572, ratings, sub ##titles
2573,dog,cream
2574,backpack,desert
2575, never for decades, not nowadays
2576,spoon,torch
2577, fridge, then library .
2578,hamburger,zebra
2579,wood,water
2580,store,island
2581,guy,dog
2582, grew two feet, she brushed
2583,chair,cloud
2584, sc ##oot ##er, washing machine
2585,hospital,station
2586, went to shop to buy, bought re ##med ##io at parlor
2587,interesting,boring
2588, su ##shi,
2589,beach,theater
2590,flew,drove
2591, the toast ##er, a light
2592,ceiling,door
2593,its,your
2594,rice,water
2595,book,cat
2596, in a parking spot, on moon
2597,room,circle
2598, balls, an orange
2599,bag,pen
2600,window,stereo
2601,tea,house
2602,television,fridge
2603, a,
2604, fold, un ##fold
2605,human,dog
2606,water,road
2607, plant, you
2608,clap,wash
2609,book,table
2610, i use a computer to ##games, you can games on stones
2611, belt, car
2612, a car, on
2613, marble, water ##mel ##on
2614, saw cu ##cum ##ber, enjoyed music
2615,##zie,bear
2616,telephone,banana
2617,chocolate,elephant
2618,water,acid
2619,crocodile,mom
2620, recycling center, farmer ' s market
2621, not,
2622,seeds,shoes
2623,red,green
2624,rock,piano
2625,fridge,drawer
2626, table je ##llo, desk wood
2627, hip ##po, camera
2628,rare,fake
2629,##s,woman
2630,sleeping,skipping
2631,lion,shark
2632, shot in leg, helped to escape
2633,banana,spoon
2634,##phones,##s
2635,eyes,lips
2636, each other married, a divorce
2637,car,fridge
2638,oven,folder
2639, mobile phone, shoes
2640, chewed, couldn ' t chew
2641,people,cities
2642,its,her
2643,bicycle,apple
2644,morning,evening
2645,fork,cup
2646,mice,cats
2647,zombie,dog
2648,rooster,dog
2649, many people live aboard their, are alive
2650, clay, an apple
2651, a potato sack, dress clothes
2652, broom, guitar
2653,deaf,blind
2654,street,man
2655,expensive,lightweight
2656,##s,him
2657,juice,##ies
2658, fridge, garbage disposal
2659,carrot,stone
2660,##brush,brush
2661,hands,legs
2662,plane,submarine
2663,middle,right
2664,stomach,news
2665,cup,pencil
2666,work,ski
2667,guns,people
2668,from,of
2669, oven, washing machine
2670,tree,ground
2671, an addiction to tobacco would make you want to smoke, smoking cigarettes is healthy
2672,clouds,hands
2673,roof,bed
2674,flies,floats
2675,fishes,dogs
2676,airplane,football
2677, dry, wet .
2678,winter,spring
2679, blend ##er, computer
2680, if you play it not but you are something, playing like being on nothing
2681, che ##eta, fish
2682,plate,note
2683,chess,football
2684, his ' s womb, the church
2685,cars,stars
2686,fan,light
2687,pen,window
2688, mobile phone, cal ##cula ##tor
2689,spoon,bike
2690,blankets,eggs
2691, can be after completing middle, is in the hotel
2692, golf balls, hockey puck ##s
2693, large nuclear explosion, picture of duck
2694,pool,computer
2695,chair,microwave
2696,hands,eyes
2697,birds,monkeys
2698,fingers,nose
2699,house,horse
2700,water,road
2701,hugged,slapped
2702, an ice cream desert, a hike forest
2703, governing agencies, mechanic
2704,cash,dolphins
2705,body,essay
2706,bike,dog
2707,##ed,##d
2708,beautiful,green
2709, fur coat,
2710,carrot,bottle
2711, places to meet friends, homes for people
2712,into,in
2713, his tv, eggs
2714,coin,car
2715,paul,train
2716,computer,stove
2717, ref ##ill vehicle, navigate vehicles
2718, eat more, exercise
2719,hospital,theater
2720, water out of glass at, hamburger with
2721, fun place to pass the time, only for children
2722,stove,sink
2723,jail,theater
2724,cake,diamond
2725,father,phone
2726,sofa,lake
2727, .,
2728,computer,bed
2729,lake,air
2730,teacher,mechanic
2731,moon,cheese
2732,car,house
2733,alcohol,milk
2734,iron,phone
2735,bat,##phone
2736,father,mother
2737,garden,bed
2738, a piece of wood, an apple
2739,feet,trees
2740, a laptop, some lunch meat
2741,tree,girlfriend
2742, rainy, strip ##y
2743, ##wood, water
2744, trim ##mer, spoon
2745,pen,house
2746, service center, hospital
2747,car,pumpkin
2748,round,flat
2749,flight,train
2750,bedroom,clock
2751, checked out book on tanks, bought tank
2752, around, roof of
2753,bank,salon
2754,legs,hands
2755, landfill, lake or ocean
2756,pen,needle
2757,shower,fire
2758,bees,tigers
2759, machine guns, spears
2760,eating,swimming
2761, dynamite, a baseball
2762, water, ke ##tch ##up
2763,dog,whale
2764,house,pill
2765,people,horses
2766,oven,dresser
2767,smile,tiger
2768,cow,chicken
2769, a sandwich, fireworks
2770,milk,mud
2771,water,fire
2772,vacation,water
2773,opened,closed
2774,cat,cigar
2775,hot,cold
2776,toes,fingers
2777,gasoline,water
2778,dog,bike
2779,cabinet,box
2780,bike,airplane
2781,hope,clothes
2782,dog,him
2783,shark,plate
2784,orange,book
2785,sea,road
2786,.,loud
2787, challenging, sitting down considered
2788,feet,hands
2789, motor oil,
2790,car,bed
2791, rocks smooth, bananas sm ##no ##oth
2792, walks on land, swim ##s in water
2793,skirt,camel
2794, plane, hip ##po
2795, dog ##house, shop
2796,captain,cat
2797,shirt,chicken
2798,vet,garage
2799,stone,towel
2800, table, piano
2801, toe ##nail, carrot
2802,meat,grass
2803,legs,controllers
2804, chop ##s, a ##ip ##ine
2805, blue ., made of diamonds
2806, ice cream ba ##ke, turkey be cooked
2807,time,distance
2808, people simultaneously, one spider
2809,rock,pencil
2810,nail,key
2811, police station, school
2812,guitar,piano
2813, a man ' s best friend, out to destroy the world
2814,lakers,.
2815, ##ses, balloons
2816, an buffalo, a whale .
2817, earth, the sun
2818, dal ##mat ##ian, tiger
2819,wood,feathers
2820, bed, match box
2821,light,bell
2822,eat,play
2823, extinct species, on the brink of extinction
2824,oven,pot
2825, pillow, tv
2826,window,pie
2827,fitness,apple
2828, turning off, pressing the on .
2829,children,coffee
2830,elephant,cup
2831,bags,##s
2832,grades,bananas
2833, pushed into air, pulled back to ground
2834, bottle, ta ##co
2835,piano,trumpet
2836,spun,ran
2837,gold,steel
2838,pie,tree
2839,lion,tv
2840, water, cu ##d
2841,monkey,turtle
2842, soda, a school
2843, rocks, a sandwich
2844, walked around, ate
2845, a bathroom, grocery store
2846, piece of paper, quarter
2847,light,happiness
2848, gi ##raf ##fe, sham ##poo
2849,ball,refrigerator
2850, milk, a rock
2851, kicking the ball, jumping with para ##sho ##ots
2852, li ##ce, mice
2853, a flower, the charge ##r
2854,his,the
2855,hair,air
2856,hat,dog
2857,is,are
2858,##cake,me
2859,cutting,washing
2860, the golden gate bridge is, pyramid ##s are
2861, shoes, a ham
2862,brown,blue
2863,bottle,plate
2864,apples,hats
2865,car,computer
2866, running exercise, watching tv ex ##eri ##se
2867,sang,ate
2868, football, bowling ball
2869,teeth,hand
2870, pen ., book
2871,book,pizza
2872,drink,kick
2873,dry,wet
2874,##les,strips
2875,microwave,.
2876,, leaves onto
2877, parking area, road
2878, corn grows, refrigerator grown
2879, juice, b ##lea ##ch
2880, kangaroo ##s, horses in the old west
2881,bicycle,car
2882,bike,ship
2883,eight,six
2884, toast ##er, clothes
2885,horse,tornado
2886,zebra,leopard
2887, husband, ham ##ster
2888, drinks, eats can
2889,air,tree
2890,sandwich,chair
2891,injured,hurt
2892,rocks,leaves
2893,green,black
2894, cool, a loser
2895, eats me for, i eat
2896,water,bed
2897,wrist,chest
2898, ice, coal to
2899,magnet,water
2900,refrigerator,oven
2901,like,likes
2902, zebra, mo ##p
2903,water,moon
2904, letter, hip ##po
2905,leopard,zebra
2906, for a walk, swimming
2907,plane,kite
2908, very popular game in, state of
2909,cat,house
2910, a pick ##le sometimes, an apple never
2911, post office, pharmacy
2912, jaguar, am ##eth ##yst
2913,fly,dog
2914,rock,house
2915,patient,movie
2916,girl,monkey
2917,cookies,people
2918, i, the table
2919,human,cat
2920, some very fast, only with one leg
2921,square,round
2922, hamburger ##s, tractors
2923,helmet,cap
2924,hat,sock
2925, cu ##cum ##bers are, california is
2926, tooth ##brush, cr ##ayo ##n
2927,sadness,luck
2928, turkey ##s, mice
2929, cooked, med ##itated
2930,lizard,fly
2931,him,phone
2932,book,bird
2933, electric un ##pl ##ug ##ging microwave aren ' t using it, phone turning off the water brush teeth
2934, from iron ., of glass
2935, boy, che ##eta ##h
2936,five,eleven
2937, glasses, shirts see
2938, meant to go on feet, for your ears
2939, rock, potato chip
2940,birthday,funeral
2941,cream,glass
2942, popcorn, a truck
2943, car ., wallet
2944, lovely in the spring, dark at noon
2945,soap,car
2946,fell,floated
2947,pasta,cookies
2948, apples, pear ##s
2949, on bridge over, under water in
2950,lift,eat
2951,clear,plastic
2952,cars,cats
2953,pay,water
2954, canada, na ##rn ##ia
2955,drive,throw
2956,ball,dog
2957,wheel,pool
2958,punishment,bonus
2959,criminal,lion
2960, drive our car neighborhood, swim pool
2961,mouse,horse
2962,him,car
2963,child,box
2964, box elephant, put turkey
2965,sandwich,sandwiches
2966,pepper,food
2967, he his to, a home
2968,lava,water
2969, blue, ripe yellow
2970, cake, car '
2971,ball,bike
2972,large,small
2973, beef, human meat
2974,phone,pet
2975, the oven, water
2976,gold,##ber
2977,kid,plant
2978, weighed pounds, was centuries old .
2979,two,three
2980,elephant,vase
2981,book,blanket
2982, chinese food, curry
2983,plants,concrete
2984,cow,dog
2985, rural village, nurse
2986,ocean,desert
2987,up,down
2988, flowers, tractor - trailers
2989,cake,tea
2990, wet, completely dry
2991,shoe,book
2992,wood,tables
2993,soda,pudding
2994, cell ##phones, dogs
2995,mud,shower
2996,difficult,easy
2997,salmon,pants
2998, jeans, kim ##ono ##s
2999,, monkey
3000,boiled,baked
3001,likes,ate
3002, a phone, soap
3003, an airplane ., a human
3004, washing machine, refrigerator
3005,money,elephant
3006,circle,wheel
3007, hamburger, wren ##ch
3008, strawberry, rat poison
3009, clock, the ##rm ##osta ##t
3010, chihuahua ., bike
3011,locations,moon
3012,cars,pasta
3013,cans,grass
3014, in the ocean, scary
3015,pillows,vegetables
3016, milk ##sha ##ke, pool
3017,earth,galaxy
3018,happy,wet
3019, his, its
3020,over,at
3021, horse, human being
3022,dentist,restaurant
3023,casino,moon
3024,##et,sticks
3025, her shoes, a wal ##rus
3026,tee,##way
3027,note,##overs
3028,butt,wrist
3029, hamburger ##s are, a slice of pizza is
3030, real life su ##shi chef, comic book superhero
3031,grape,pear
3032, horse, pine ##apple
3033,salon,store
3034, be trees, go for long walks
3035, put in, use
3036,boat,ship
3037, more ##s, cold water
3038,groceries,dishes
3039, ate, was eaten by
3040,dog,fish
3041, good, the child bad
3042, ta ##co, desk
3043,puppy,clover
3044, potato ##e, bacteria
3045, man hysterical ##ly, pl ##at ##yp ##us h ##yst ##ery ##ically
3046, a husband, money
3047,rock,sandwich
3048, fridge ##s, countries
3049,dog,tissue
3050, put the, pressed chapters of
3051,##s,music
3052, phone, soda bottle
3053,blanket,snake
3054,boy,horse
3055, frog, he with his dog
3056, cricket bat - and - two, football rec ##tangle four
3057,hammer,suit
3058, mom, gi ##raf ##fe
3059, sunglasses eyes, sleeping mask belly button
3060, went s ##nor ##kel ##ing, was on the airplane
3061,cold,hot
3062,car,pizza
3063, salad for lunch, video games
3064,golf,boxing
3065,whale,horse
3066,close,open
3067,planet,bicycle
3068,##er,##r
3069, himself, his back
3070,fence,tree
3071,fished,served
3072,fly,airplane
3073,car,dishes
3074,bird,plane
3075,horns,locks
3076,airplane,guitar
3077,leopard,coyote
3078,horse,apple
3079, looking at, eating
3080, car ., pt ##ero ##da ##ct ##yl
3081, saturn, the doctor
3082, electric, gasoline powered
3083, butterflies, pl ##at ##yp ##uses
3084,apple,engine
3085, black and whites spots, wings
3086,bicycle,notebook
3087, dog, homo ##sa ##pie ##n
3088,ocean,lawn
3089,pluto,earth
3090, he, the apple
3091,gas,soda
3092, new york city, berlin
3093,puppy,siren
3094,ants,horses
3095, big ##foot, glasses
3096, tread ##mill, water
3097,oven,desk
3098,plate,sponge
3099,woman,women
3100,rocket,submarine
3101,down,run
3102,jeans,helicopters
3103, new york, paris
3104, af ##rca, antarctica
3105,baby,tree
3106,expensive,happy
3107, grows on trees, is full of vitamin ##s
3108, car, soy sauce
3109,rainbow,moon
3110,dry,wash
3111,club,sausage
3112,trash,##ster
3113, flushed, flew to
3114,cream,lava
3115,key,fish
3116,whale,man
3117,desk,pen
3118,will,likely
3119, saxophone, telephone
3120,wet,off
3121, candy bar, an elephant
3122,october,march
3123,, ' grandparents
3124, television, dish ##wash ##er
3125,gun,passport
3126, potato, cotton sw ##ab
3127, spaghetti is, burr ##ito ##s are
3128,wolves,dogs
3129,television,car
3130, orange ., window
3131,last,first
3132,gold,milk
3133, ##dre ##sser, dog
3134,shop,store
3135, .,
3136,football,sandwich
3137, toast ##er, dog
3138, friends, dead grandma
3139,park,church
3140, lawn mo ##wer, bus
3141,swimming,reading
3142,clown,crown
3143, likes fuel, like ke ##tch ##up
3144,car,couch
3145,hawaii,arizona
3146, gi ##raf ##fe, dough ##nut
3147, weed, egg ##pl ##ant
3148,water,gasoline
3149,sky,reef
3150, grocery,
3151,cat,tree
3152, soda, pencil ##s
3153, nobody goes, sam doesn t like go
3154, popcorn, ticket
3155, off, into a monkey
3156,apple,pumpkin
3157,dinosaurs,kids
3158,bus,house
3159,phone,apple
3160, apples, tuna .
3161,library,salmon
3162,truck,bus
3163, in the mustache, three times per week
3164,books,car
3165,laughing,barking
3166, rain ##water, homework
3167,mustache,password
3168,tv,phone
3169,car,oven
3170,bottle,table
3171, new york, india
3172,car,plane
3173,knife,fork
3174, bananas, steak ##s
3175,",",.
3176,sidewalk,ocean
3177,bike,ant
3178, smartphone ##s are, food is
3179,sink,oven
3180,flew,ran
3181, front yard, ear
3182,cats,shoes
3183,milk,fire
3184, musical instrument, kitchen ga ##dget
3185,read,cook
3186,sandwich,engine
3187, can be driving outside, is watching shows
3188, shop hammer ##s hardware store, dance provocative ##ly money wal ##mart
3189, go ka ##rt, semi truck
3190,cow,apple
3191, jet plane, dog
3192,lazy,lucy
3193,dog,tiger
3194,pie,car
3195,months,minutes
3196, rains, ' s rain
3197,sun,store
3198, hot air balloon, bus
3199, seat ##ac airport, mars
3200,you,store
3201,chicken,lion
3202, be shining on, cool
3203, blue ##bird, penguin
3204, helps clear out of, fills up with
3205, pilot, bis ##cuit
3206, swimming pool, zipper
3207,people,lions
3208,rocks,plants
3209, animals using, plants by .
3210, usually round, available in many shapes
3211, the store ., space
3212,blue,red
3213,newspaper,radio
3214,gun,tree
3215, drink whisky, ex ##cer ##ise
3216,banks,weight
3217,rock,bird
3218,squirrel,skyscraper
3219,screen,oil
3220,building,apple
3221,dog,garage
3222, treating patient ., cooking
3223,moon,store
3224, work, moon
3225, bus, bag ##el
3226, an element, just like oxygen
3227,cream,cocoa
3228, the fridge, julie
3229,pumpkin,apartment
3230, gold ##fish, mammoth
3231, gi ##raf ##fe, puppy
3232, peoples pu ##mbs vehicle, people pumps stomach
3233, mount everest, successfully high jump
3234, tooth ##brush, ball
3235, sofa is that 3, 7 to sit
3236, nectar, chocolate milk
3237,hands,pen
3238, rocks, carrot ##s
3239,broke,cleaned
3240, didn ' t go, went do some work
3241,grocery,hardware
3242,sky,water
3243, orange ##s milk, dogs astronauts
3244, cotton, cu ##cum ##ber
3245,, large building
3246,falling,blue
3247,slept,sang
3248, chicken, a chair
3249,was,had
3250,dog,guy
3251,work,ocean
3252,car,bowl
3253,basketball,girl
3254, an umbrella, a no ##ct ##urne
3255,mountain,blanket
3256,##board,machine
3257,potatoes,soldiers
3258, very easy, impossible
3259, .,
3260, vegetables beef, vegetarian ##s meat
3261, the paper, tv
3262,house,dust
3263, piano ., rock
3264,meal,car
3265, a bag ##el, an in ##fl ##atable tire
3266, orange ##s, apple
3267,##fish,me
3268,drove,flew
3269,cave,salad
3270, bow on, fe ##rret to
3271, place to sleep, pool
3272,pants,underwear
3273, milk, a dog
3274, melted, puddle of water turned to
3275, gi ##raf ##fe ##s, pigs
3276, iced tea, pizza
3277,dog,student
3278, to clean yourself, can bath in your
3279,phone,##r
3280, pigs grass paint plastic, a ball cl ##ea ##ts a field pads
3281, scale weight, cal ##ipe ##r height
3282,hot,cold
3283,banana,phone
3284, sick ., healthy
3285,milk,beef
3286, post office, bottom of ocean
3287, student, students
3288,must,can
3289,paper,pencil
3290, plane, pigeon mail
3291, ball, chains ##aw
3292, accelerate ##s, stops
3293,goose,airplane
3294, works at, eats
3295,apples,lamps
3296,huge,small
3297,safe,dangerous
3298,drank,studied
3299,year,day
3300,dark,bright
3301,smaller,higher
3302, nails ., coffee
3303, under bus, at
3304,boat,house
3305,tunes,moon
3306, everyone hates, many people like
3307,cows,birds
3308,, cold
3309,kitten,whale
3310, al ##pac ##a, skyscraper
3311,mouse,car
3312,car,flea
3313,water,whisky
3314,horse,tree
3315,the,s
3316,dinner,work
3317, answer rings, answered was not ringing
3318, the entire ocean, milk
3319,bananas,apples
3320, caught itself, fell to ground
3321,sandwich,pen
3322,eyes,teeth
3323,house,pie
3324,man,baby
3325, the the bike into, he also a books ##hel ##f in
3326, mac ##aro ##ni, wife
3327,beach,sun
3328,bicycle,apple
3329, underwater, in a field of dirt
3330,hat,button
3331,piano,city
3332,basketball,bicycle
3333,airplane,car
3334, gi ##raf ##fe, fish
3335,deer,bridge
3336, rides on me, i ride
3337,cat,mouse
3338,mouth,ears
3339,happy,house
3340,restaurant,president
3341,perfume,movie
3342,electricity,pudding
3343,bike,dinosaur
3344, delivery,
3345,rock,sea
3346,ate,wrote
3347, in a fridge, on stove
3348, black, red or green
3349,sun,moon
3350,ahead,lazy
3351,sexy,hot
3352,summer,winter
3353,cream,candle
3354,are,is
3355, post office, police
3356,car,plane
3357, a chicken, cell ##phone
3358,lion,rabbit
3359, artificial intelligence the world, an asteroid impact human ##kind
3360, disc, my dog
3361,flute,lemon
3362,, turkey
3363, pregnant boy, pre ##gan ##t cow
3364,sock,cup
3365,card,##s
3366,baker,mechanic
3367,wife,train
3368,square,shape
3369, computer work big muscles, jury duty judgement
3370,school,pluto
3371,razor,bra
3372, movie theater, barber ##sho ##p
3373, martial law, surgical an ##esthesia
3374,banana,keyboard
3375,table,ball
3376, mouse, dinosaur .
3377,crimes,charging
3378, horse horse, gi ##raf ##fe tor ##to ##ise
3379, cactus, counter ##tops .
3380, bath ##tub, driveway
3381, clouds rev ##ol ##ve sky, earth revolves sun
3382,##poo,##gent
3383,coffee,cactus
3384, cigar, sand ##i ##wich
3385,brush,knife
3386,glasses,bats
3387, cars, mac ##aro ##ni
3388,ice,mud
3389,victim,judge
3390,break,winter
3391,sun,earth
3392, dug hole to china, went for walk
3393,horse,rabbit
3394, rocks, chocolate cake
3395,bird,cow
3396,hill,mountain
3397,trees,buildings
3398,sun,moon
3399,apartment,car
3400,tongue,elbow
3401,horses,turtles
3402,lose,gain
3403,fence,moon
3404, in the sky, underwater
3405,tree,car
3406,spoon,chicken
3407, helmet to bed, jacket out into the arctic cold
3408, everywhere, in here
3409, food, a shoe
3410,stolen,broken
3411,biscuits,tea
3412,wood,water
3413,marathon,chicken
3414,glove,sun
3415,beans,acid
3416,friends,value
3417,refrigerator,car
3418,running,dance
3419,stone,pub
3420, salty seas, a sea with garbage it
3421, dry, a large body of water
3422,music,movie
3423, grocery store, gym
3424,moon,saturn
3425,attic,outdoors
3426,badminton,music
3427, gi ##raf ##fe ##s, people
3428, ken ##nel, microwave
3429, stay home, go a performance then
3430, orange ##s, children
3431, potato ##s, stars
3432, wearing shoes keeps, dogs keep
3433,bird,dog
3434,tv,him
3435,marathon,train
3436, roof, parking lot
3437, hearing people sing, watching interpret ##ive dance
3438,banana,phone
3439,oven,pot
3440, she, food
3441,bed,sandwich
3442,closet,oven
3443,flowers,wall
3444,car,ball
3445, a good singer, the strongest man alive
3446, fast, with a dog on its back
3447,, punch holes in
3448, the largest continent, an elephant
3449,dog,truck
3450,car,water
3451, everyone eventually, no one ever
3452,camera,banana
3453, car race, concert
3454, in a giant bowl of vega ##n soup, on his head
3455,basketball,bicycle
3456,ham,dirt
3457, never, a lot of
3458,earth,sun
3459,tree,boy
3460, turkey, large camel
3461,pool,ground
3462,paper,milk
3463, mentally scared, physically sp ##ong ##y
3464, birds, rhino ##s
3465, a bag of popcorn, an elephant
3466,house,car
3467,##ula,##brush
3468, insulin, as ##pi ##rin
3469,some,all
3470,sandwich,donkey
3471,weaponry,fiber
3472,shoes,gloves
3473, chan ##del ##ier, dress
3474,cars,helicopters
3475, tooth ##brush, new fishing rod
3476, dentist, hair ##dre ##sser
3477,astronaut,accountant
3478,dog,ant
3479,boat,plane
3480, skate ##board, tree
3481, everyone dresses as ghosts, people dress
3482,exercise,.
3483, man ##di ##ble, hand
3484, driveway, front lawn
3485,outside,high
3486,car,horse
3487,fish,horses
3488,egg,house
3489, nearby hospital, near by police station
3490,dry,movie
3491,cats,dogs
3492, pc it appears spelled the, computer see
3493, the concept of happiness, a knife
3494, val ##inho ##s, mana ##us
3495, floor, chalk board
3496, he, lion
3497, late for work, a loaf of bread
3498, fridge, cold beer
3499,sandals,boots
3500, hot, luke ##war ##m
3501,leaves,pizza
3502, bath, car ride
3503,doctor,dentist
3504, smell ##y, tall
3505, from little caesar ##s, at k ##fc
3506, file taxes, fix rocket ship
3507, france, brad pitt
3508,bear,##on
3509, bracelet, stud ear ##ring
3510, her textbook, a mattress tag
3511, eu ##ph ##oric, not pleasant
3512,feet,hands
3513, ste ##th ##os ##cope, mu ##ffin
3514, a combustion,
3515,quieter,louder
3516,napkin,mother
3517,requires,require
3518,car,frog
3519, fl ##im ##sy light, sturdy heavy
3520, television, a phone book
3521,dog,car
3522, bread, oil paste ##ls
3523, dogs, jimmy .
3524, alcohol, shower curtains
3525,trousers,chairs
3526,, on
3527, grandson, mother ' s father
3528,sock,dog
3529,jelly,bricks
3530,drugs,cash
3531,car,bed
3532,dog,guitar
3533,.,ray
3534, ones ##ie, suit
3535, match ##stick, pen
3536,coffee,soda
3537,walked,swam
3538, feather, tool ##box
3539,hands,ears
3540,dog,cow
3541, blend ##er, burger
3542,teacher,student
3543,lake,road
3544, have beer, eat french fries
3545,fridge,cat
3546, coffee mug, backpack
3547, had to take insulin shots regularly, ate more milk ##sha ##kes
3548,calm,angry
3549, is in, sits on top of
3550, ghost, bar of gold
3551,vanilla,##poo
3552, she,
3553, clothing, human flesh
3554, fly in sky, sub ##mer ##ge under water
3555, finger, bowling ball
3556, mo ##p, brick
3557,apple,soap
3558, butter, a brick
3559, on the airport runway every day, in garage
3560, car dealers, actors
3561,bully,curriculum
3562, an an ##vil, a baseball
3563,dog,mother
3564, balloon, hand ##bag
3565, dog, toast ##er
3566, pine - cones, wood
3567,plants,animals
3568,swim,run
3569, on jacket ., dog
3570,##men,store
3571,garden,sink
3572,riding,reading
3573, circus tent, hospital
3574, on a street corner, in the ocean shallow ##s
3575, wool ##ly hat, shorts
3576,gun,sponge
3577,sharks,bears
3578, child ., rock
3579,chickens,flowers
3580, still while there no water, down the narrow path
3581,engine,website
3582,water,air
3583, as ##tri ##ngen ##t, hot
3584,turtle,car
3585,lion,bath
3586,by,buy
3587,with,after
3588,banana,monkey
3589, milk, paint thinner
3590,breathing,blinking
3591, of dolphins,
3592, comic strip, cheese
3593, low, without wings
3594,sand,toilet
3595,hospital,supermarket
3596,horse,cat
3597,block,sandwich
3598,books,pets
3599," take a shower at , might attack", can go to want to see
3600, water, gr ##av ##y
3601, th ##rift store ., greenhouse
3602, jack ##hammer, spoon
3603,santa,satan
3604, boy chased, played golf
3605, home, day job
3606,swam,ran
3607,drank,ate
3608,head,feet
3609, toilet, dining room table
3610,pencil,remote
3611,sky,road
3612,, his .
3613, mix ##ut ##re brown tea ##l, mixture red blue
3614,puppy,tree
3615,today,machine
3616,piano,girl
3617,elephant,clothes
3618,river,bath
3619,cat,roof
3620,banana,picture
3621, .,
3622,hand,leg
3623, a peach, traffic
3624, cereal box, the abandoned mine
3625,ride,tie
3626,iron,taste
3627, home buy, the store ##bu ##y
3628,dresser,tv
3629, airport, next city
3630, prick ##ed, plucked
3631,bed,tree
3632,coldly,hot
3633, is a used to, the
3634,cooking,work
3635, dog, toast ##er
3636,watch,taste
3637, truck, dish ##wash ##er
3638,buttons,leaves
3639,soda,wine
3640,kite,plane
3641, 10 liter ##s, a glass
